size,name,price,calorie,protein,fat,carbohydrate,dietary_fiber,isSetMain,isSetSide,isSetDrink
,マックシェイク® 森永ラムネ,120,230,4.5,2,48.4,0.3,,,
,マックシェイク® 森永ラムネ,200,382,7.2,3.2,81.1,0.5,,,
,マックシェイク® バニラ,120,218,4.5,2,45.5,0.3,,,
,マックシェイク® バニラ,200,361,7.2,3.2,75.9,0.5,,,
,マックシェイク® チョコレート,120,228,5,2.4,46.8,1.1,,,
,マックシェイク® チョコレート,200,380,8.1,3.9,78.2,1.9,,,
,マックシェイク® ストロベリー,120,221,4.5,2,46.2,0.3,,,
,マックシェイク® ストロベリー,200,366,7.2,3.2,77.1,0.5,,,
,マックフルーリー® オレオ®クッキー,240,235,6,6.9,37.6,0.5,,,
,マックフルーリー® 超 オレオ®,290,337,8.1,10.5,53.2,1.4,,,
,ワッフルコーン ストロベリー,200,257,5.5,5.4,46.7,0.8,,,
,ワッフルコーン チョコ&アーモンド,200,295,6,10.6,44,0.9,,,
,ワッフルコーン プレーン,150,232,5.4,5.4,40.5,0.5,,,
,ソフトツイスト,100,148,3.9,3.8,24.6,0.1,,,
,マックフロート グレープ,290,205,2.8,2.9,41.9,0,,,
,マックフロート メロン,290,205,2.8,2.9,41.9,0,,,
,マックフロート コーク®,290,195,2.8,2.9,39.4,0,,,
,マックフロート コーヒー,290,114,3.2,3,18.6,0,,,
,ホットアップルパイ,100,211,1.9,10.7,26.8,1,,,
,プチパンケーキ,200,161,3.8,4.4,26.4,1.3,,,
